School Name,Udise Code,State,District,Block,Cluster,Village,PINCODE,School Category,School Type,Class To,Class From,State Management,National Management,Location,blank,I,II,III,IV,V,VI,VII,VIII,IX,X,XI,XII,Total 1-12,Total with primary,XXXX,Teacher,pta nhi
"Govt. Girls Sec. School,Block-E, Jahangirpuri, Delhi",07010100502,Delhi,NORTH WEST A,DOE ZONE-09,"1253008-North DMC Primary School (Boys) , Jahangir Puri J-2 ,Delhi-110033",020-N (Swami Sharda Nand Colony),110033,7-Upper Pr. and Secondary,2-Girls,6,10,1-Department of Education,1-Department of Education,,2-Urban,0,0,0,0,0,173,141,160,186,117,0,0,777,777,0,28,28
"Govt. Sarvodaya Kanya Vidyalaya (Rani Chennama),D-Block,Jahangirpuri, Delhi",07010100503,Delhi,NORTH WEST A,DOE ZONE-09,"1253008-North DMC Primary School (Boys) , Jahangir Puri J-2 ,Delhi-110033",021-N (Jahangir Puri),110033,3-Pr. with Up.Pr. Sec. and H.Sec.,3-Co-educational,1,12,1-Department of Education,1-Department of Education,,2-Urban,80,82,80,81,80,241,265,250,247,217,357,229,2209,2289,82,88,88
"Govt. Boys Sec. School,Block-E, Jahangirpuri, Delhi",07010100504,Delhi,NORTH WEST A,DOE ZONE-09,"1253008-North DMC Primary School (Boys) , Jahangir Puri J-2 ,Delhi-110033",020-N (Swami Sharda Nand Colony),110033,7-Upper Pr. and Secondary,1-Boys,6,10,1-Department of Education,1-Department of Education,,2-Urban,0,0,0,0,0,181,167,212,203,142,0,0,905,905,0,36,36
"Govt. Boys Sr. Sec. School,Block-K, Jahangirpuri, Delhi",07010100505,Delhi,NORTH WEST A,DOE ZONE-09,"1253008-North DMC Primary School (Boys) , Jahangir Puri J-2 ,Delhi-110033",021-N (Jahangir Puri),110033,5-Up. Pr. Secondary and Higher Sec,1-Boys,6,12,1-Department of Education,1-Department of Education,,2-Urban,0,0,0,0,0,738,768,657,624,489,444,261,3981,3981,0,120,120
"Govt. Boys Sr. Sec. School,D-Block,Jahangirpuri, Delhi",07010100506,Delhi,NORTH WEST A,DOE ZONE-09,"1253008-North DMC Primary School (Boys) , Jahangir Puri J-2 ,Delhi-110033",021-N (Jahangir Puri),110033,5-Up. Pr. Secondary and Higher Sec,1-Boys,6,12,1-Department of Education,1-Department of Education,,2-Urban,0,0,0,0,0,304,241,228,228,192,302,142,1637,1637,0,62,62
"Govt. Co-ed. Sr. Sec. School,Kewal Park, Azad Pur, Delhi",07010101301,Delhi,NORTH WEST A,DOE ZONE-09,"1309031-Govt. Sarvodaya Kanya Vidyalaya, Adarsh Nagar, Delhi",018-N (Dhirpur),110033,5-Up. Pr. Secondary and Higher Sec,1-Boys,6,12,1-Department of Education,1-Department of Education,,2-Urban,0,0,0,0,0,46,150,162,135,85,72,58,708,708,0,30,30
"Govt. Boys Sr. Sec. School,Azadpur Village Delhi",07010101401,Delhi,NORTH WEST A,DOE ZONE-09,"1253127-North DMC Pratibha Vidyalaya (Co.ed) , Azad Pur Colony, Delhi",017-N (Adarsh Nagar),110033,5-Up. Pr. Secondary and Higher Sec,1-Boys,6,12,1-Department of Education,1-Department of Education,,2-Urban,0,0,0,0,0,282,181,173,147,213,79,0,1075,1075,0,43,43
"Govt. Girls Sr. Sec. School,Azadpur Village Delhi",07010101402,Delhi,NORTH WEST A,DOE ZONE-09,"1253127-North DMC Pratibha Vidyalaya (Co.ed) , Azad Pur Colony, Delhi",017-N (Adarsh Nagar),110033,5-Up. Pr. Secondary and Higher Sec,2-Girls,6,12,1-Department of Education,1-Department of Education,,2-Urban,0,0,0,0,0,265,254,247,267,189,45,0,1267,1267,0,51,51
"Govt. Boys Sr. Sec. School No.2,Adarsh Nagar, Delhi",07010101403,Delhi,NORTH WEST A,DOE ZONE-09,"1309031-Govt. Sarvodaya Kanya Vidyalaya, Adarsh Nagar, Delhi",017-N (Adarsh Nagar),110033,5-Up. Pr. Secondary and Higher Sec,1-Boys,6,12,1-Department of Education,1-Department of Education,,2-Urban,0,0,0,0,0,256,270,243,284,269,305,205,1832,1832,0,58,58
"Govt. Girls Sec. School,Majlis Park, Gali No. 9, Delhi",07010101404,Delhi,NORTH WEST A,DOE ZONE-09,"1309031-Govt. Sarvodaya Kanya Vidyalaya, Adarsh Nagar, Delhi",017-N (Adarsh Nagar),110033,7-Upper Pr. and Secondary,2-Girls,6,10,1-Department of Education,1-Department of Education,,2-Urban,0,0,0,0,0,135,148,145,128,117,0,0,673,673,0,24,24
