School Name,Udise Code,State,District,Block,Cluster,Village,PINCODE,School Category,School Type,Class To,Class From,State Management,National Management,Location,blank,I,II,III,IV,V,VI,VII,VIII,IX,X,XI,XII,Total 1-12,Total with primary,XXXX,Teacher,pta nhi
Vidhya Shree school,06140400811,Haryana,ROHTAK,ROHTAK,GSSS BHALOUT,BHALOT,124501,2-Primary with Upper Primary,3-Co-educational,1,8,5-Private Unaided (Recognized),5-Private Unaided (Recognized),,1-Rural,91,70,83,100,86,81,78,66,0,0,0,0,655,655,70,21,21
SHIVA HIGH SCHOOL,06140401104,Haryana,ROHTAK,ROHTAK,GSSS CHAMARIAN,CHAMARIA,124501,6-Pr. Up Pr. and Secondary Only,3-Co-educational,1,10,5-Private Unaided (Recognized),5-Private Unaided (Recognized),,1-Rural,10,15,15,13,20,21,19,31,60,80,0,0,284,284,15,11,11
Shri Baba Mastnath Residential Public School,06140404017,Haryana,ROHTAK,ROHTAK,"GGSSS MODEL TOWN, ROHTAK",ROHTAK,124501,3-Pr. with Up.Pr. Sec. and H.Sec.,3-Co-educational,1,12,5-Private Unaided (Recognized),5-Private Unaided (Recognized),,2-Urban,53,55,52,58,51,47,42,48,26,18,14,6,470,470,55,17,17
ADARSH BHARTI HIGH SCHOOL,06140406102,Haryana,ROHTAK,ROHTAK,GSSS ROHTAK,ROHTAK-2,124501,6-Pr. Up Pr. and Secondary Only,3-Co-educational,1,10,5-Private Unaided (Recognized),5-Private Unaided (Recognized),,2-Urban,62,64,68,64,55,44,54,40,2,3,0,0,456,456,64,11,11
NEW M.G.M. SCHOOL,06140406103,Haryana,ROHTAK,ROHTAK,"GGSSS GANDHI NAGAR, ROHTAK",ROHTAK-2,124501,2-Primary with Upper Primary,3-Co-educational,1,8,8-Unrecognized,8-Unrecognized,,2-Urban,16,23,14,9,20,10,11,0,0,0,0,0,103,103,23,8,8
HINDU ADARSH MIDDLE SCHOOL ROHTAK,06140406104,Haryana,ROHTAK,ROHTAK,GGSSS ROHTAK,ROHTAK-2,124501,2-Primary with Upper Primary,3-Co-educational,1,8,5-Private Unaided (Recognized),5-Private Unaided (Recognized),,2-Urban,22,22,19,13,5,8,10,0,0,0,0,0,99,99,22,6,6
SHARMA ADARSH PRY. SCHOOL,06140406106,Haryana,ROHTAK,ROHTAK,GSSS ROHTAK,ROHTAK-2,124501,1-Primary,3-Co-educational,1,5,5-Private Unaided (Recognized),5-Private Unaided (Recognized),,2-Urban,23,15,15,18,17,0,0,0,0,0,0,0,88,155,15,6,6
THE SUNSHINE SR.SEC SCHOOL ROHTAK,06140406111,Haryana,ROHTAK,ROHTAK,GSSS CHAMARIAN,ROHTAK-2,124501,3-Pr. with Up.Pr. Sec. and H.Sec.,3-Co-educational,1,12,5-Private Unaided (Recognized),5-Private Unaided (Recognized),,2-Urban,21,21,21,28,25,27,27,37,31,32,36,38,344,375,21,18,18
CHARANSINGH SR SEC SCHOOL ATAIL,06140500107,Haryana,ROHTAK,SAMPLA,GSSS DATTAUR,ATAIL,124501,3-Pr. with Up.Pr. Sec. and H.Sec.,3-Co-educational,1,12,5-Private Unaided (Recognized),5-Private Unaided (Recognized),,1-Rural,61,96,99,58,44,62,31,45,69,123,51,53,792,792,96,38,38
GMSPS BHAINSRU KALAN,06140500301,Haryana,ROHTAK,SAMPLA,GGSSS HASSANGARH,BHAINSRU KALAN,124501,1-Primary,3-Co-educational,1,5,1-Department of Education,1-Department of Education,,1-Rural,17,20,19,21,24,0,0,0,0,0,0,0,101,101,20,2,2
GHS BHAINSRU KALAN,06140500302,Haryana,ROHTAK,SAMPLA,GGSSS HASSANGARH,BHAINSRU KALAN,124501,7-Upper Pr. and Secondary,3-Co-educational,6,10,1-Department of Education,1-Department of Education,,1-Rural,0,0,0,0,0,15,14,21,13,15,0,0,78,78,0,7,7
GPS BHAINSRU KHURD,06140500401,Haryana,ROHTAK,SAMPLA,GGSSS HASSANGARH,BHAINSRU KHURD,124501,1-Primary,3-Co-educational,1,5,1-Department of Education,1-Department of Education,,1-Rural,17,16,19,19,22,0,0,0,0,0,0,0,93,93,16,3,3
GHS BHAINSRU KHURD,06140500402,Haryana,ROHTAK,SAMPLA,GGSSS HASSANGARH,BHAINSRU KHURD,124501,7-Upper Pr. and Secondary,3-Co-educational,6,10,1-Department of Education,1-Department of Education,,1-Rural,0,0,0,0,0,17,12,21,13,21,0,0,84,84,0,7,7
MEGHA RAM PUBLIC HIGH SCHOOL BHAINSRU KHURD,06140500404,Haryana,ROHTAK,SAMPLA,GGSSS HASSANGARH,BHAINSRU KHURD,124501,3-Pr. with Up.Pr. Sec. and H.Sec.,3-Co-educational,1,12,5-Private Unaided (Recognized),5-Private Unaided (Recognized),,1-Rural,19,16,47,32,40,38,39,39,69,58,29,30,456,484,16,31,31
GPS DATAUR,06140500601,Haryana,ROHTAK,SAMPLA,GSSS DATTAUR,DATAUR,124501,1-Primary,3-Co-educational,1,5,1-Department of Education,1-Department of Education,,1-Rural,19,23,19,26,27,0,0,0,0,0,0,0,114,114,23,5,5
GSSS DATTAUR,06140500602,Haryana,ROHTAK,SAMPLA,GSSS DATTAUR,DATAUR,124501,5-Up. Pr. Secondary and Higher Sec,3-Co-educational,6,12,1-Department of Education,1-Department of Education,,1-Rural,0,0,0,0,0,18,25,27,30,25,93,37,255,255,0,17,17
GREENLAND PUBLIC SCHOOL DATTAUR,06140500603,Haryana,ROHTAK,SAMPLA,GSSS DATTAUR,DATAUR,124501,3-Pr. with Up.Pr. Sec. and H.Sec.,3-Co-educational,1,12,5-Private Unaided (Recognized),5-Private Unaided (Recognized),,1-Rural,42,89,65,82,76,71,66,74,70,68,88,82,873,948,89,33,33
BAL KALYAN HIGH SCHOOL GANDHRA,06140500706,Haryana,ROHTAK,SAMPLA,GSSS ISMAILA,GANDHRA,124501,6-Pr. Up Pr. and Secondary Only,3-Co-educational,1,10,5-Private Unaided (Recognized),5-Private Unaided (Recognized),,1-Rural,22,16,22,26,19,19,23,21,25,15,0,0,208,208,16,11,11
GHS GARHI SAMPLA,06140500802,Haryana,ROHTAK,SAMPLA,GSSS SAMPLA,GARHI SAMPLA,124501,7-Upper Pr. and Secondary,3-Co-educational,6,10,1-Department of Education,1-Department of Education,,1-Rural,0,0,0,0,0,21,20,22,20,25,0,0,108,108,0,7,7
