School Name,Udise Code,State,District,Block,Cluster,Village,PINCODE,School Category,School Type,Class To,Class From,State Management,National Management,Location,Blank,I,II,III,IV,V,VI,VII,VIII,IX,X,XI,XII,Total 1-12,Total with primary,XXXX,Teacher,pta nhi
GPS BAHADURPUR,03090600601,Punjab,LUDHIANA,MANGAT-3,GPS CHONTA,BAHADARPUR,141126,1-Primary,3-Co-educational,1,5,1-Department of Education,1-Department of Education,,1-Rural,3,3,6,3,3,0,0,0,0,0,0,0,18,27,3,1,1
GPS BHAINI DOABA,03090601401,Punjab,LUDHIANA,MANGAT-3,GPS BHUKHRI KALAN,BHAINI DUAABA,141126,1-Primary,3-Co-educational,1,5,1-Department of Education,1-Department of Education,,1-Rural,4,4,8,1,2,0,0,0,0,0,0,0,19,28,4,1,1
GPS BHAINI GAHI,03090601501,Punjab,LUDHIANA,MANGAT-3,GPS BHUKHRI KALAN,BHAINI GHAHI,141126,1-Primary,3-Co-educational,1,5,1-Department of Education,1-Department of Education,,1-Rural,9,5,9,3,3,0,0,0,0,0,0,0,29,42,5,1,1
GPS BHAINI KEEMA,03090601601,Punjab,LUDHIANA,MANGAT-3,GPS BHUKHRI KALAN,BHAINI KEEMA,141126,1-Primary,3-Co-educational,1,5,1-Department of Education,1-Department of Education,,1-Rural,4,3,1,2,3,0,0,0,0,0,0,0,13,26,3,1,1
GPS BHAINI NATHU,03090601701,Punjab,LUDHIANA,MANGAT-3,GPS BHUKHRI KALAN,BHAINI NATHU,141126,1-Primary,3-Co-educational,1,5,1-Department of Education,1-Department of Education,,1-Rural,6,7,4,4,4,0,0,0,0,0,0,0,25,51,7,1,1
GPS BHAINI SAALU,03090601801,Punjab,LUDHIANA,MANGAT-3,GPS BHUKHRI KALAN,BHAINI SAALU,141126,1-Primary,3-Co-educational,1,5,1-Department of Education,1-Department of Education,,1-Rural,9,6,7,14,8,0,0,0,0,0,0,0,44,73,6,1,1
GHS BHAINI SAALU,03090601802,Punjab,LUDHIANA,MANGAT-3,GPS BHUKHRI KALAN,BHAINI SAALU,141126,7-Upper Pr. and Secondary,3-Co-educational,6,10,1-Department of Education,1-Department of Education,,1-Rural,0,0,0,0,0,44,48,37,40,43,0,0,212,212,0,7,7
GPS BHAINI SAHIB,03090601901,Punjab,LUDHIANA,MACHHIWARA-2,GPS RAYIAAN,BHAINI SAHIB,141126,1-Primary,3-Co-educational,1,5,1-Department of Education,1-Department of Education,,1-Rural,21,23,18,6,23,0,0,0,0,0,0,0,91,130,23,3,3
GSSS BHAINI SAHIB,03090601902,Punjab,LUDHIANA,MACHHIWARA-2,GPS RAYIAAN,BHAINI SAHIB,141126,5-Up. Pr. Secondary and Higher Sec,3-Co-educational,6,12,1-Department of Education,1-Department of Education,,1-Rural,0,0,0,0,0,26,21,36,45,41,80,97,346,346,0,17,17
SATGURU PARTAP SINGH ACADEMY,03090601904,Punjab,LUDHIANA,MACHHIWARA-2,GPS RAYIAAN,BHAINI SAHIB,141126,3-Pr. with Up.Pr. Sec. and H.Sec.,3-Co-educational,1,12,5-Private Unaided (Recognized),5-Private Unaided (Recognized),,1-Rural,23,20,24,15,24,33,29,28,29,33,32,26,316,366,20,16,16
